Ranking,Title,Year,Genre,Score,Actor,Link
#99,School Spirits,2023,"Supernatural, Teen Drama, Mystery",93%,"PeytonList,KristianFlores,SpencerMacPherson,KiaraPichardo",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/school_spirits_2023
#100,Bodies,2023,"Crime, Sci-Fi, Mystery",94%,"JacobFortune-Lloyd,ShiraHaas,AmakaOkafor,KyleSoller",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/bodies_2023
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
